,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,5486352,1524407638,0x984b5f2022116003aa20faa470d6098f5d04ca69098f815a9057abcfc0440911,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.545,None
1,5493099,1524507617,0x35bb69f4bb905720271736aa1cd29df9dceaede6a1cbf684a4c11c3e586e8b7c,0x600659033fdce68be4d886ed114f9328ac5f6148,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.5,None
2,5493786,1524517928,0xfc2a7fe3cdd2bf2d863442b43ae2b23d217971b955e787fa41b2e98f78e718ca,0x564286362092d8e7936f0549571a803b203aaced,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.51,None
3,5498772,1524593650,0x84b662a3d99df80e35fa7ea0750611b7f2e43329aa442280cf4573a71087c724,0xa6968109932504c4ed82f3c94700d9984e14ae64,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.049517,None
4,5504294,1524674871,0x727916ecf9305629af16251b4ddd9e0ab55b15fcc56f32f05f57adae5845ce88,0x151236de3f90b46aae21e16fe7f8abe9b09c4015,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.10689592,None
5,5505260,1524689656,0x1f8de2f594f4ff169c1f182436a2c3fcd49cf2c6050e8ada2f9a88d8c27e008e,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,1.19013285,None
6,5505264,1524689706,0x4663c4052e1def3041fc0fd7642b2ceb03724cfda287e01806c70059e026c5ff,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,1.13625168,None
7,5505347,1524690969,0x4f5684f3042dfc3e46d3f944c6bdad336f2c5a0b0be0b8edf0a18c9f3bddeee8,0x1b0faa66469e741eb005ca53e21a6dec180f9a65,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.5,None
8,5505371,1524691295,0xbbee49b8ce9d5e8fba3c8f46948408f11a3e21b171b3bcf211c96c48c45fb356,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.69184168,None
9,5505380,1524691409,0x9480834f4c234ce3e30135d073b20d5b7813a4227eb9eb020e37418aad7186d2,0x87233728bc2397f17e56b914fec60342240b298d,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.6,None
10,5505446,1524692311,0xc9e6c8940ba2fec7a3e96f99cd253cc06dd20557277105b063e9c7300cbc85d9,0x390de26d772d2e2005c6d1d24afc902bae37a4bb,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,9.77990207,None
11,5510650,1524769175,0x829c33465fcb7c82c9d736849488126e2e64a0f9647c4fd3393b559ddbee3e2e,0x59860cdbfd8f962d1c0eaefd91cb5684720ac74b,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0,0,call,0x,0.513952320000021,None
12,5516677,1524860076,0x4be86496e376ab5096d71ffae7c39bd63f00999131fd4ca3e2253add952eb752,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0xd5e8ef9a57519cfdc7bd9a10e970007f14f93604,0,0,call,0x,1.5,None
13,5517571,1524873326,0x1bfd3372236b18b98065f9a9c04cd2eee6ce0df6d750586f00a3edc69954096a,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0xd5e8ef9a57519cfdc7bd9a10e970007f14f93604,0,0,call,0x,11.0,None
14,5517651,1524874567,0x418ccf8acca7c1a8f1c0829e64c9906d7b7ca58482454a872c46222ff65bb32e,0x9d74797da2447ec1a4c977e815d66bbd8d8d9272,0xd5e8ef9a57519cfdc7bd9a10e970007f14f93604,0,0,call,0x,3.6220445200000215,None
