,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,4277623,1505501704,0x9c10c1c6cd50318edf549f9c573af1dd4fd1e35e135174fca11dc44029366092,0x7b558cdcd2eeb0ad053da0f93f33dfbcbf8b75f3,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0,0,call,0x,16.0,None
1,4277639,1505502234,0x4cd80cb95441e34930736f61e30304ceaa70f94479b0e63947adbf9e7f33a9b8,0x7b558cdcd2eeb0ad053da0f93f33dfbcbf8b75f3,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0,0,call,0x,0.06852752,None
2,4760361,1513692868,0x22d6b4d6ed089c5edf6dc51256f091ac9628ea568a9d6be9354445d23b3441d2,0x1f94970a7381e7b6e9f366dbca4640b30ef79c23,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0,0,call,0x,0.03736159,None
3,4760409,1513693628,0x6c71a4dfba152f71eca955dcd1c3ee2d1e4252596c16f1b6c15a9bfe71a4fb84,0x0c76d36c29f4438c37be01a10213780ae7af7185,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0,0,call,0x,3.19625,None
4,4864842,1515262897,0x7a9104d9dc263eaa28a48d0762cb36c7f0b8181feeca85bf518fa3229b0e2d30,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0x2371693dfba2da8b8f7cd21de974f75ad85787fd,0,0,call,0x,5.0,None
5,4915101,1516060293,0xbaf1eb35b07eaf6f706a46fd42d6792b9ec97737adb012930c39cb3170cc8d3c,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0xb3da8e939f015f67025870fd063dd48ba61175b3,0,0,call,0x,4.0,None
6,4918835,1516118553,0xde255f30a90c887ab30b2bca4f15df27978c917e2122c718ca4809bcea124920,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0,0,call,0x,3.99,None
7,4965615,1516820512,0xaa72570d918b0be7ae69773677950245991de51982321c0bc3c4ff43ec1313e9,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0xb3da8e939f015f67025870fd063dd48ba61175b3,0,0,call,0x,3.0,None
8,4966261,1516829545,0xec5a6fe3ac87fc7c95158ca674e492d2471466b5d1ceba23d809b0abd8face3d,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0x52964c88faaa9c19c0dda18c340dc61421472539,0,0,call,0x,0.1,None
9,4966709,1516835613,0x67d4265a217a6bdd9047259b5f3eccdcb8c865ce991248988df05380bd1b95b5,0x52964c88faaa9c19c0dda18c340dc61421472539,0xb5abbe595f8b5d1b9c21c416b47b4b190c42cf06,0,0,call,0x,0.0921,None
