blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
7774978,1558058779,0x6e85f4759e8255c37d32e410d4ec0f76618ba1c62a50368be7933336b633eed0,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0x1d017002c80103ec1b660af24c318362abfd8648,0,0,call,0x,10.0,None
7774981,1558058894,0xde0cbbea9920536543e923583dd7f0febb06501c1a0cbc49126a2d5dd02f18b2,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0x1d017002c80103ec1b660af24c318362abfd8648,0,0,call,0x,991.0051699999999,None
6743015,1542766675,0xe51da8573b15fe2ef98b45a713a787f2ceae866171a6674e0217366950fe7602,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0x991cfe4ceca77fa2c68c9b4f72db32b3c5ae65e8,0,0,call,0x,210.0,None
7775071,1558060186,0x6fcc592c41a0fbb2736d205a4f8744f626bf9bd7d33243cbb98653b2f790d2fa,0x4af60c7fa6e85803ba54ee400d296c2c758a63ba,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,0.05,None
3959246,1498937970,0x8baf3bf15970a1bd180e9c8bada743f84ccc7ce7f990877f69c965bf2f6d0f6f,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0x428b29c8302498a06896a9419a22465d72c0fc49,0,0,call,0x,20.0,None
6621871,1541050723,0xf74296e89c7de2ae555a117a5bb1ca926fd513d2f47aaeea3e3510681f2ca8b2,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0xc16eed5c13ec97c5bbe1fdebcf34bea027cdeb28,0,0,call,0x,345.357847,None
6924450,1545363646,0x0fdad4dacf96af7faa8cfdda8341c2bc0361404dae4374b6783b1b92b038e77c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0xc16eed5c13ec97c5bbe1fdebcf34bea027cdeb28,0,0,call,0x,500.0,None
6999624,1546461841,0x7690cf4a96ccf0d5192bc3e7831bcec9f6d9ff6c8fc5b79cff3fe7888ed7b7c3,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0xc16eed5c13ec97c5bbe1fdebcf34bea027cdeb28,0,0,call,0x,209.0,None
3635189,1493690402,0xeba6c61b2a910c6380106352f431d482bf894acc0d75c25cdf113355f788691e,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,0.01,None
3635526,1493695746,0x26246ef618b8c5b2ba9af6d8647a7de2139210fcb4c92cd00c5aa29f96ca7440,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,95.4798,None
3778928,1495932352,0x0bea87341fda44f2bb35d05af8e8df1a76f1289e2b6f95f8f84da251d9b0cc2a,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,1000.0,None
3908612,1498056428,0x7a5ad1980173f4b92e0f705caec60182a8335bc768faa76a1a99578be50882b2,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,499.97079800000006,None
3956825,1498896104,0x2497578730c869002e1153fa242f8c0419030d496cab4e5da027ac45acbf3437,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd2e2264556173c4eff498dac94a03015fb739c90,0,0,call,0x,0.01,None
3958414,1498923609,0x7de3528e30b8e5aac399986fbe8396a69c205d15f43d4b2213f5d1024b0a4db9,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xd2e2264556173c4eff498dac94a03015fb739c90,0,0,call,0x,4.99,None
6080068,1533289162,0xaf38734fdf7925d243e9eb87febbb6d591806796b38db018a59ba67e5dacc5f1,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,300.0,None
6743095,1542767814,0x6af79c8096b7e53ec13f6c645850732968f4d8a173c5fe3c5dc35c35ae30f61f,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,210.01,None
6981955,1546203957,0x56cbac907ef3c2cab8876f14cff9f7118dad84be6c0a3ace32cca6be2101b0d7,0x1bf3349c6c09481f948a98462ae541a9b01e80f2,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,210.0,None
3966837,1499067601,0x53645c95e3d794e81fb6fc88e88e0192d7f76567ee6bd77d0a686e2edbeecf0e,0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0,0,call,0x,10.0,None
4127053,1502088404,0xadd553e6e718c9879ef392b3267b99dbc5909096deba4b28c181cf3efea483e2,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0xd2e2264556173c4eff498dac94a03015fb739c90,0,0,call,0x,40.0,None
4253949,1504929441,0x39dbc52498e46243b58860a7f8e29e51bf41295dec31d021749921eca357a07b,0x05cf522cc852cd3b173d80ac4a7360a8f4c6b4c8,0xd2e2264556173c4eff498dac94a03015fb739c90,0,0,call,0x,0.1,None
